# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    8.096192385    0.687675640    0.687692513    3.781223526
    8.116232465    0.675900788    0.675902551    3.917427026
    8.136272545    0.667656011    0.667646791    4.001984204
    8.156312625    0.670142536    0.670126523    4.049298358
    8.176352705    0.685635405    0.685616517    4.019963014
    8.196392786    0.709709804    0.709693943    3.867281970
    8.216432866    0.728942619    0.728937943    3.598268104
    8.236472946    0.727815463    0.727826614    3.270810862
    8.256513026    0.703756101    0.703778024    2.957824399
    8.276553106    0.667778772    0.667800958    2.713724293
    8.296593186    0.632327979    0.632343812    2.546719495
    8.316633267    0.603808483    0.603818937    2.420313771
    8.336673347    0.582366756    0.582377476    2.301412691
    8.356713427    0.566410785    0.566424900    2.197580876
    8.376753507    0.558556745    0.558571886    2.129369164
    8.396793587    0.563712609    0.563726065    2.101662343
    8.416833667    0.581472178    0.581485449    2.103430663
    8.436873747    0.604991608    0.605010056    2.104870752
    8.456913828    0.628678346    0.628706918    2.071325240
    8.476953908    0.652580665    0.652619285    1.999917648
    8.496993988    0.677969455    0.678010571    1.930904464
    8.517034068    0.702780205    0.702811667    1.907968185
    8.537074148    0.723345100    0.723361038    1.942033447
    8.557114228    0.740553263    0.740560067    2.009599689
    8.577154309    0.754093230    0.754101813    2.068628194
    8.597194389    0.756511065    0.756527537    2.084994098
    8.617234469    0.742256584    0.742278390    2.053639262
    8.637274549    0.715004269    0.715025007    1.995415819
    8.657314629    0.683806023    0.683823146    1.939494000
    8.677354709    0.656916208    0.656931508    1.913043491
    8.697394790    0.641996186    0.642012245    1.935981088
    8.717434870    0.644869400    0.644887355    1.996237933
    8.737474950    0.664870595    0.664890266    2.041778426
    8.757515030    0.695984311    0.696004377    2.021586452
    8.777555110    0.730932510    0.730948766    1.927917315
    8.797595190    0.761233495    0.761239182    1.785707223
    8.817635271    0.779883292    0.779875329    1.624110298
    8.837675351    0.790725939    0.790710309    1.470421642
    8.857715431    0.810241934    0.810228646    1.344220682
    8.877755511    0.852717452    0.852712039    1.255807818
    8.897795591    0.916541177    0.916542620    1.208208947
    8.917835671    0.984863178    0.984865297    1.194135015
    8.937875752    1.038927188    1.038923876    1.195672324
    8.957915832    1.066377226    1.066370241    1.197102055
    8.977955912    1.062862806    1.062859128    1.198130999
    8.997995992    1.040209315    1.040212183    1.205759123
    9.018036072    1.020951028    1.020960647    1.226595721
    9.038076152    1.017295688    1.017312939    1.268266143
    9.058116232    1.029731604    1.029757037    1.329250532
    9.078156313    1.059402256    1.059433770    1.393896414
    9.098196393    1.110719011    1.110751681    1.443955754
    9.118236473    1.180179879    1.180207401    1.462313852
    9.138276553    1.251230228    1.251248198    1.439361260
    9.158316633    1.305080543    1.305090642    1.387540612
    9.178356713    1.327082247    1.327089404    1.337325418
    9.198396794    1.317694000    1.317701608    1.317927049
    9.218436874    1.301875898    1.301889928    1.339380397
    9.238476954    1.299112991    1.299146933    1.390437557
    9.258517034    1.303147554    1.303208497    1.450650504
    9.278557114    1.300451493    1.300525512    1.512172228
    9.298597194    1.282073659    1.282143043    1.592616141
    9.318637275    1.245739758    1.245802471    1.710720223
    9.338677355    1.195425752    1.195488330    1.859751340
    9.358717435    1.136403533    1.136467101    2.020104222
    9.378757515    1.080325697    1.080386169    2.188870763
    9.398797595    1.040962070    1.041015874    2.378823732
    9.418837675    1.023444618    1.023487634    2.595769102
    9.438877756    1.021937292    1.021966275    2.819097590
    9.458917836    1.030397647    1.030416764    3.000566091
    9.478957916    1.052089716    1.052107084    3.111200299
